Pre_RSRP,Post_RSRP,Delta_RSRP
-97.5037063039199,-89.2747866732327,8.22891963068717
-97.8381231076888,-88.1506159206328,9.68750718705604
-97.8115592914363,-91.2087210579622,6.60283823347415
-97.4238375329157,-90.2731361687637,7.15070136415207
-97.3303602875286,-89.8522673324619,7.47809295506675
-97.2855150350348,-86.7588419880258,10.5266730470089
-97.4714813392084,-88.7727000710097,8.69878126819874
-97.9264753398624,-90.5663127871466,7.36016255271576
-99.1522321287468,-88.8707664020614,10.2814657266853
-97.3069800565061,-95.5889553883494,1.71802466815672
-97.5033568676731,-92.3752449922492,5.12811187542394
-97.4933611774288,-88.5795754931354,8.91378568429331
-97.4239614267906,-94.349902961596,3.07405846519463
-99.0997165452196,-88.1033091513404,10.9964073938791
-98.3451116986207,-89.6312126303848,8.71389906823594
-97.6745091923856,-92.8524581513447,4.82205104104092
-85.3336321251764,-83.4976831438497,1.83594898132673
-97.3604170760482,-90.4249053750681,6.93551170098012
-85.848454700128,-85.1806310169754,0.667823683152605
-98.1618805699346,-88.1440820558887,10.0177985140458
-97.6453465145635,-92.5624312910062,5.0829152235573
-97.2849816846912,-89.9130201089124,7.37196157577879
-97.2525438246885,-90.2437479106045,7.00879591408401
-97.3749344929375,-87.2279145774022,10.1470199155353
-97.9907247107101,-92.4779411462728,5.51278356443734
-98.1909809920251,-87.2644417012112,10.9265392908138
-97.9006946115336,-86.8572055673988,11.0434890441348
-97.3763754823205,-89.5282340137362,7.84814146858427
-97.8470515047206,-88.9034027500527,8.9436487546679
-86.0121738901214,-85.7795326063508,0.232641283770647
-85.8270133734138,-82.5444569929905,3.28255638042334
-98.1704371185959,-89.3047354073852,8.86570171121071
-97.6819250032947,-90.0363728825262,7.64555212076845
-97.5301241491578,-87.5824831898363,9.94764095932144
-85.8184719187335,-85.0759451444042,0.742526774329235
-97.6828949138978,-86.2259569256886,11.4569379882091
-97.6909865001116,-90.3462549768815,7.34473152323015
-97.627390396693,-89.7034083662464,7.92398203044662
-97.8368296267315,-91.9748741326,5.86195549413143
-97.3834006867527,-89.5798147586345,7.80358592811819
-85.6138507847678,-84.5645074890066,1.04934329576121
-97.5746738108554,-88.6234399193701,8.95123389148527
-98.8082326346125,-89.1352570360691,9.67297559854338
-97.9861557416388,-87.9643898132532,10.0217659283856
-85.9897269724867,-83.8249725024385,2.16475447004823
-97.5014164907903,-92.8935305188076,4.60788597198275
